Date,Adj Close Price,Returns,Bin Label,News,PressReleases
2022-04-04,217.63442993164062,0.031095470938035996,U4,[],[]
2022-04-05,208.97279357910156,-0.039799016889284,D4,[],"[{""date"": ""2022-04-05 08:00:00"", ""headline"": ""Bose Turns Up the Volume on Digital Customer Experiences with Salesforce"", ""description"": ""--Salesforce, the global leader in CRM, today announced that Bose, a leader in premium audio products, will deploy Salesforce Customer 360 to expand its robust direct-to-consumer business, providing personalized and tailored experiences that delight customers and build loyalty. In addition, Salesforce's Marketing Cloud Customer Data Platform will allow...""}]"
2022-04-06,199.70457458496094,-0.04435131882673693,D5,[],[]
2022-04-07,199.04823303222656,-0.0032865624340274735,D1,[],[]
2022-04-08,196.0748291015625,-0.014938107640386167,D2,[],[]
2022-04-11,194.3643798828125,-0.008723451279225802,D1,"[{""date"": ""20220411161428"", ""headline"": ""Better SaaS Stock: Salesforce vs. ServiceNow"", ""summary"": ""Salesforce (NYSE: CRM) and ServiceNow (NYSE: NOW) have both profited from that secular trend.  Salesforce, which was founded in 1999, is the world's largest provider of cloud-based customer relationship management (CRM) services.  ServiceNow, founded in 2003, optimizes an organization's digital workflows with its cloud-based tools."", ""source"": ""Yahoo""}, {""date"": ""20220411162805"", ""headline"": ""Cisco tops Fortune's best places to work. Salesforce, Nvidia in top 10"", ""summary"": ""The magazine praised Cisco's commitment to its employees as they return to work. The company topped last year's list, too."", ""source"": ""Yahoo""}, {""date"": ""20220411174500"", ""headline"": ""3 Top Artificial Intelligence Stocks to Buy Right Now"", ""summary"": ""The artificial intelligence (AI) market has grown like a weed in recent years as organizations gather and process more data to make smarter decisions.  Nvidia is the world's largest producer of discrete graphics processing units (GPUs) for PCs.  It also provides higher-end GPUs for data centers, where they help process complex machine learning and AI tasks more efficiently."", ""source"": ""Yahoo""}, {""date"": ""20220411184500"", ""headline"": ""Salesforce Inc. stock outperforms competitors despite losses on the day"", ""summary"": ""Shares of Salesforce Inc. sank 0.87% to $195.45 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index..."", ""source"": ""MarketWatch""}, {""date"": ""20220412051403"", ""headline"": ""Tech stocks: cash, not growth, leads share prices"", ""summary"": ""Tech companies that were once cautious about in-person work are calling employees back to the office.  The move poses a challenge to business software stock valuations.  Take workplace chat provider Slack and its parent company Salesforce, the cloud software group."", ""source"": ""Yahoo""}, {""date"": ""20220412085900"", ""headline"": ""This value fund manager is sticking with Netflix and Facebook's parent \u2014 and has a new position in another megacap tech stock"", ""summary"": ""Bill Nygren, portfolio manager for the $5 billion Oakmark Select Fund, was particularly stung by the Netflix and Meta slumps due to that fund's style of..."", ""source"": ""MarketWatch""}]",[]
2022-04-12,193.7279510498047,-0.0032744108431366215,D1,"[{""date"": ""20220412173348"", ""headline"": ""AT&T Failed At Growth Through Acquisitions But Others Hope To Succeed"", ""summary"": ""The growth-through-acquisitions strategy of AT&T stock fell apart but Palo Alto Networks, Accenture and Salesforce may fare better."", ""source"": ""Yahoo""}, {""date"": ""20220412184500"", ""headline"": ""Salesforce Inc. stock outperforms market despite losses on the day"", ""summary"": ""Shares of Salesforce Inc. sank 0.33% to $194.81 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500..."", ""source"": ""MarketWatch""}]","[{""date"": ""2022-04-12 08:00:00"", ""headline"": ""New Research from Smart Communications Details Key Trends in Insurance Customer Experience Including\u00a0Hyper-personalization, Data and Customer Expectations"", ""description"": ""--Smart Communications, a leading technology company focused on helping businesses engage in more meaningful customer conversations today announced the release of the 2022 Hyper-Personalization in Insurance Claims Study. Based on results from an Insurance Innovators survey of 150 senior insurance executives from the U.S. and U.K., the study developed in...""}, {""date"": ""2022-04-12 12:00:00"", ""headline"": ""Sajo Systems Switches to Rimini Street Support for SAP S/4HANA and Enables IT Innovation"", ""description"": ""Rimini Street Inc., a global provider of enterprise software products and services, the leading third-party support provider for Oracle and SAP software products, and a Salesforce partner, today announced that Sajo Systems, a division of Korean Sajo Group, has partnered with Rimini Street to provide a higher level of award-winning support and software...""}]"
2022-04-13,194.63290405273438,0.004671256770258481,U1,"[{""date"": ""20220413184500"", ""headline"": ""Salesforce Inc. stock rises Wednesday, still underperforms market"", ""summary"": ""Shares of Salesforce Inc. inched 0.47% higher to $195.72 Wednesday, on what proved to be an all-around great trading session for the stock market, with the..."", ""source"": ""MarketWatch""}, {""date"": ""20220413234509"", ""headline"": ""Salesforce.com (CRM) Gains But Lags Market: What You Should Know"", ""summary"": ""Salesforce.com (CRM) closed the most recent trading day at $195.72, moving +0.47% from the previous trading session."", ""source"": ""Yahoo""}, {""date"": ""20220414063600"", ""headline"": ""Stocks Finish Inflation-Riddled Week with Losses"", ""summary"": """", ""source"": ""TalkMarkets""}]","[{""date"": ""2022-04-13 04:00:00"", ""headline"": ""Germany\u2019s Salesforce Growth Lifts Large, Midsize Providers"", ""description"": ""Salesforce service providers in Germany are under pressure to add qualified staff to meet rising demand, but this has not yet caused the kind of industry consolidation seen in the U.S., according to a new research report published today by Information Services Group, a leading global technology research and advisory firm. The 2022 ISG Provider Lens\u2122 Salesforce...""}]"
2022-04-14,188.3579559326172,-0.03223991416383032,D4,"[{""date"": ""20220414171000"", ""headline"": ""Dow's 50-point drop led by losses in Salesforce Inc., Apple Inc. shares"", ""summary"": ""Behind declines for shares of Salesforce Inc. and Apple Inc., the Dow Jones Industrial Average is declining Thursday afternoon. The Dow was most recently..."", ""source"": ""MarketWatch""}, {""date"": ""20220414171421"", ""headline"": ""Twitter rejecting Musk's offer \u2018opens the door\u2019 for Big Tech acquisition, Mark Cuban says"", ""summary"": ""Yahoo Finance Live's Jared Blikre and Brian Sozzi discuss Mark Cuban's take on Tesla CEO Elon Musk's offer to buy social media company Twitter."", ""source"": ""Yahoo""}, {""date"": ""20220414175648"", ""headline"": ""Three reasons why Twitter will reject Elon Musk\u2019s buyout offer, according to an analyst"", ""summary"": ""Jefferies Equity Research Analyst Brent Thill joins Yahoo Finance Live to provide his three reasons for why Twitter will reject Tesla CEO Elon Musk\u2019s $41.3 billion buyout offer."", ""source"": ""Yahoo""}, {""date"": ""20220414184500"", ""headline"": ""Salesforce Inc. stock underperforms Thursday when compared to competitors"", ""summary"": ""Shares of Salesforce Inc. slid 3.22% to $189.41 Thursday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500..."", ""source"": ""MarketWatch""}, {""date"": ""20220414191547"", ""headline"": ""Elon Musk is the Twitter board's 'worst nightmare': analyst"", ""summary"": ""Elon Musk is in full on attack mode against Twitter."", ""source"": ""Yahoo""}, {""date"": ""20220415200705"", ""headline"": ""Off To The RACES: Natural Gas Equities Extend Their Lead Versus FAANG Stocks"", ""summary"": ""A historic capital rotation has gone from a quiet murmur in the distance in 2021 to a full roar front and center in 2022."", ""source"": ""SeekingAlpha""}, {""date"": ""20220416081400"", ""headline"": ""Easter Egg Hunt: Fed Policy, Oil, Satellite Stocks, Twitter ..."", ""summary"": """", ""source"": ""TalkMarkets""}, {""date"": ""20220417015605"", ""headline"": ""Trading The Top 10 Stocks From 40 Large Hedge Funds: Trading Update 4/16/2022"", ""summary"": ""This portfolio strategy uses the quarterly 13F filings to extract 50 consensus stocks from 40 large hedge funds that have more than $3.5 billion Assets Under Management."", ""source"": ""SeekingAlpha""}, {""date"": ""20220418034854"", ""headline"": ""Salesforce: Still A No"", ""summary"": ""Since I first wrote about Salesforce, the economic data has softened; earnings revisions are shifting lower and the tenor of the market has shifted bearish. Here's why CRM is still a no."", ""source"": ""SeekingAlpha""}, {""date"": ""20220418090000"", ""headline"": ""Salesforce: Buy The Dip On This Fast Grower"", ""summary"": ""Salesforce has strong pricing power, operating leverage, and profitability. See why I think the recent sell-off in CRM stock presents an attractive opportunity."", ""source"": ""SeekingAlpha""}]",[]
2022-04-18,185.9712677001953,-0.012671024277178367,D2,"[{""date"": ""20220418172200"", ""headline"": ""Dow's 38-point fall led by losses in Walt Disney, Honeywell International Inc. stocks"", ""summary"": ""Dragged down by losses for shares of Walt Disney and Honeywell International Inc., the Dow Jones Industrial Average is declining Monday afternoon. The Dow..."", ""source"": ""MarketWatch""}, {""date"": ""20220418184500"", ""headline"": ""Salesforce Inc. stock underperforms Monday when compared to competitors"", ""summary"": ""Shares of Salesforce Inc. slipped 1.27% to $187.01 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500..."", ""source"": ""MarketWatch""}, {""date"": ""20220419091400"", ""headline"": ""21 Popular Stocks: Which To Buy \ufffd\ufffd\ufffd Which To Sell?"", ""summary"": """", ""source"": ""TalkMarkets""}]",[]
